order_id,order_date,promised_delivery_date,order_status,warehouse_name,customer_segment,product_name,order_value_eur,backlog_age_days,is_sla_breach,risk_priority
ORD-000298,2025-11-08,2025-11-11,Processing,Spree Fulfilment Centre,Consumer,Charging Pouch 10,41.23,297,t,Critical
ORD-025536,2025-11-09,2025-11-13,On Hold,Main Central Hub,Mid-Market,Notebook Set 06,42.31,296,t,Critical
ORD-029347,2025-11-11,2025-11-15,On Hold,Elbe North Hub,Small Business,Massage Roller 20,10.37,294,t,Critical
ORD-006457,2025-11-11,2025-11-15,On Hold,Elbe North Hub,Consumer,Webcam 04,160.93,294,t,Critical
ORD-018686,2025-11-12,2025-11-15,Processing,Elbe North Hub,Mid-Market,Yoga Mat 06,44.35,293,t,Critical
ORD-024645,2025-11-12,2025-11-15,Processing,Main Central Hub,Mid-Market,Grooming Kit 02,341.73,293,t,Critical
ORD-012259,2025-11-13,2025-11-18,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Skin Care Set 18,11.09,292,t,Critical
ORD-022534,2025-11-13,2025-11-18,On Hold,Isar South Centre,Consumer,Desk Lamp 18,79.07,292,t,Critical
ORD-009950,2025-11-13,2025-11-17,Processing,Isar South Centre,Consumer,Protective Sleeve 04,22.92,292,t,Critical
ORD-010516,2025-11-13,2025-11-16,Processing,Isar South Centre,Small Business,Hair Dryer 19,32.55,292,t,Critical
ORD-016541,2025-11-14,2025-11-18,Processing,Main Central Hub,Consumer,Mechanical Keyboard 15,131.06,291,t,Critical
ORD-029626,2025-11-14,2025-11-19,On Hold,Elbe North Hub,Consumer,Marker Set 14,19.33,291,t,Critical
ORD-005960,2025-11-17,2025-11-20,On Hold,Spree Fulfilment Centre,Consumer,Travel Adapter 18,20.28,288,t,Critical
ORD-019433,2025-11-17,2025-11-21,Processing,Main Central Hub,Consumer,Hiking Bottle 03,32.42,288,t,Critical
ORD-004748,2025-11-18,2025-11-21,Processing,Main Central Hub,Small Business,Hiking Bottle 13,346.16,287,t,Critical
ORD-015091,2025-11-18,2025-11-21,Processing,Main Central Hub,Small Business,Wireless Mouse 01,111.49,287,t,Critical
ORD-021717,2025-11-19,2025-11-22,On Hold,Rhine-Ruhr Fulfilment Centre,Consumer,Desk Lamp 08,140.59,286,t,Critical
ORD-006074,2025-11-19,2025-11-22,On Hold,Main Central Hub,Consumer,Protective Sleeve 04,47.19,286,t,Critical
ORD-012576,2025-11-19,2025-11-23,Processing,Spree Fulfilment Centre,Small Business,Storage Set 16,106.59,286,t,Critical
ORD-013411,2025-11-19,2025-11-22,On Hold,Main Central Hub,Small Business,Storage Set 01,128.96,286,t,Critical
ORD-016993,2025-11-20,2025-11-23,Processing,Main Central Hub,Mid-Market,Water Bottle 05,108.24,285,t,Critical
ORD-016282,2025-11-20,2025-11-24,On Hold,Saxony Distribution Hub,Consumer,USB-C Hub 12,101.31,285,t,Critical
ORD-003585,2025-11-21,2025-11-24,On Hold,Elbe North Hub,Consumer,Desk Lamp 08,69.95,284,t,Critical
ORD-000321,2025-11-21,2025-11-24,Processing,Isar South Centre,Consumer,Training Bag 19,186.07,284,t,Critical
ORD-002813,2025-11-21,2025-11-25,Processing,Saxony Distribution Hub,Consumer,USB-C Hub 12,103.14,284,t,Critical
ORD-000107,2025-11-22,2025-11-26,Processing,Rhine-Ruhr Fulfilment Centre,Small Business,Desk Lamp 03,108.80,283,t,Critical
ORD-028508,2025-11-23,2025-11-28,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,USB-C Hub 12,103.94,282,t,Critical
ORD-006899,2025-11-23,2025-11-26,Processing,Isar South Centre,Consumer,Printer Paper 08,11.02,282,t,Critical
ORD-013973,2025-11-23,2025-11-25,On Hold,Isar South Centre,Consumer,Phone Stand 16,32.13,282,t,Critical
ORD-024538,2025-11-23,2025-11-26,Processing,Saxony Distribution Hub,Small Business,Storage Set 06,65.05,282,t,Critical
ORD-012244,2025-11-25,2025-11-28,On Hold,Elbe North Hub,Consumer,Resistance Bands 17,71.91,280,t,Critical
ORD-011090,2025-11-25,2025-11-28,Processing,Main Central Hub,Consumer,Hiking Bottle 18,38.18,280,t,Critical
ORD-001316,2025-11-25,2025-11-28,Processing,Isar South Centre,Enterprise,Desk Lamp 13,615.50,280,t,Critical
ORD-002248,2025-11-26,2025-11-30,Processing,Spree Fulfilment Centre,Consumer,Laptop Stand 10,56.29,279,t,Critical
ORD-016532,2025-11-27,2025-11-30,On Hold,Elbe North Hub,Small Business,Hiking Bottle 13,353.93,278,t,Critical
ORD-016361,2025-11-27,2025-11-30,On Hold,Saxony Distribution Hub,Small Business,Massage Roller 05,48.38,278,t,Critical
ORD-001549,2025-11-27,2025-11-30,Processing,Saxony Distribution Hub,Consumer,Wireless Mouse 01,120.68,278,t,Critical
ORD-014528,2025-11-28,2025-12-02,Processing,Main Central Hub,Small Business,Training Bag 19,274.84,277,t,Critical
ORD-005708,2025-11-28,2025-12-01,On Hold,Spree Fulfilment Centre,Consumer,Water Bottle 15,101.55,277,t,Critical
ORD-008509,2025-11-28,2025-12-01,Processing,Main Central Hub,Consumer,Wireless Mouse 01,118.15,277,t,Critical
ORD-001494,2025-11-28,2025-12-02,Processing,Isar South Centre,Consumer,Coffee Press 02,41.81,277,t,Critical
ORD-005442,2025-11-28,2025-12-01,Processing,Saxony Distribution Hub,Enterprise,Hiking Bottle 13,1584.81,277,t,Critical
ORD-001977,2025-11-29,2025-12-04,Processing,Elbe North Hub,Small Business,Printer Paper 08,22.28,276,t,Critical
ORD-001762,2025-11-30,2025-12-04,On Hold,Rhine-Ruhr Fulfilment Centre,Consumer,Yoga Mat 01,161.18,275,t,Critical
ORD-029392,2025-12-01,2025-12-05,On Hold,Spree Fulfilment Centre,Consumer,Notebook Set 16,19.68,274,t,Critical
ORD-020715,2025-12-02,2025-12-04,On Hold,Main Central Hub,Consumer,Grooming Kit 12,48.11,273,t,Critical
ORD-019046,2025-12-02,2025-12-05,Processing,Rhine-Ruhr Fulfilment Centre,Small Business,Printer Paper 03,19.12,273,t,Critical
ORD-019290,2025-12-03,2025-12-07,Processing,Main Central Hub,Consumer,Bluetooth Speaker 08,148.36,272,t,Critical
ORD-023913,2025-12-03,2025-12-07,Processing,Main Central Hub,Consumer,Training Bag 04,220.32,272,t,Critical
ORD-005872,2025-12-03,2025-12-07,Processing,Rhine-Ruhr Fulfilment Centre,Small Business,Wireless Mouse 01,225.17,272,t,Critical
ORD-009431,2025-12-03,2025-12-06,Processing,Isar South Centre,Consumer,USB-C Hub 02,110.04,272,t,Critical
ORD-011150,2025-12-05,2025-12-09,On Hold,Isar South Centre,Consumer,Yoga Mat 11,91.11,270,t,Critical
ORD-005762,2025-12-05,2025-12-07,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Cable Set 07,24.55,270,t,Critical
ORD-028885,2025-12-05,2025-12-07,On Hold,Spree Fulfilment Centre,Consumer,Notebook Set 06,14.82,270,t,Critical
ORD-023685,2025-12-05,2025-12-08,On Hold,Isar South Centre,Consumer,Grooming Kit 07,42.81,270,t,Critical
ORD-027688,2025-12-05,2025-12-09,Processing,Main Central Hub,Small Business,Wireless Mouse 01,231.78,270,t,Critical
ORD-002506,2025-12-07,2025-12-11,Processing,Main Central Hub,Small Business,Coffee Press 02,127.09,268,t,Critical
ORD-025850,2025-12-07,2025-12-11,On Hold,Elbe North Hub,Small Business,USB-C Hub 02,540.50,268,t,Critical
ORD-007689,2025-12-07,2025-12-10,On Hold,Elbe North Hub,Mid-Market,Grooming Kit 02,67.72,268,t,Critical
ORD-003851,2025-12-07,2025-12-10,Processing,Elbe North Hub,Consumer,Mechanical Keyboard 20,150.11,268,t,Critical
ORD-017569,2025-12-09,2025-12-12,Processing,Elbe North Hub,Consumer,Laptop Stand 15,45.12,266,t,Critical
ORD-011573,2025-12-09,2025-12-13,On Hold,Rhine-Ruhr Fulfilment Centre,Consumer,Grooming Kit 17,34.03,266,t,Critical
ORD-028262,2025-12-09,2025-12-12,On Hold,Main Central Hub,Consumer,Yoga Mat 01,55.53,266,t,Critical
ORD-014786,2025-12-11,2025-12-14,Processing,Elbe North Hub,Consumer,Charging Pouch 05,52.57,264,t,Critical
ORD-002045,2025-12-11,2025-12-14,Processing,Main Central Hub,Consumer,Charging Pouch 20,24.04,264,t,Critical
ORD-011615,2025-12-12,2025-12-16,On Hold,Saxony Distribution Hub,Consumer,Yoga Mat 11,93.79,263,t,Critical
ORD-019623,2025-12-12,2025-12-18,Processing,Isar South Centre,Small Business,Mechanical Keyboard 05,169.83,263,t,Critical
ORD-005010,2025-12-12,2025-12-15,On Hold,Main Central Hub,Small Business,Massage Roller 05,84.33,263,t,Critical
ORD-011377,2025-12-13,2025-12-16,On Hold,Spree Fulfilment Centre,Consumer,Desk Lamp 13,33.76,262,t,Critical
ORD-017815,2025-12-14,2025-12-20,On Hold,Main Central Hub,Mid-Market,Wireless Mouse 06,317.70,261,t,Critical
ORD-023225,2025-12-15,2025-12-18,On Hold,Rhine-Ruhr Fulfilment Centre,Small Business,Water Bottle 15,198.63,260,t,Critical
ORD-005032,2025-12-15,2025-12-18,On Hold,Spree Fulfilment Centre,Small Business,Training Bag 19,188.53,260,t,Critical
ORD-013967,2025-12-18,2025-12-20,Processing,Saxony Distribution Hub,Consumer,Massage Roller 15,57.30,257,t,Critical
ORD-020317,2025-12-18,2025-12-22,On Hold,Rhine-Ruhr Fulfilment Centre,Consumer,Yoga Mat 06,47.66,257,t,Critical
ORD-014128,2025-12-19,2025-12-23,Processing,Spree Fulfilment Centre,Consumer,Grooming Kit 17,34.56,256,t,Critical
ORD-001407,2025-12-19,2025-12-24,Processing,Saxony Distribution Hub,Consumer,Charging Pouch 05,51.92,256,t,Critical
ORD-019411,2025-12-20,2025-12-25,Processing,Elbe North Hub,Consumer,Marker Set 09,38.69,255,t,Critical
ORD-006268,2025-12-20,2025-12-24,On Hold,Saxony Distribution Hub,Small Business,Desk Organiser 12,8.58,255,t,Critical
ORD-028968,2025-12-20,2025-12-24,On Hold,Main Central Hub,Consumer,Electric Toothbrush 06,54.66,255,t,Critical
ORD-015783,2025-12-21,2025-12-25,Processing,Saxony Distribution Hub,Small Business,Desk Organiser 12,17.29,254,t,Critical
ORD-013505,2025-12-21,2025-12-24,Processing,Main Central Hub,Consumer,Hiking Bottle 13,177.32,254,t,Critical
ORD-000295,2025-12-21,2025-12-26,On Hold,Rhine-Ruhr Fulfilment Centre,Consumer,Massage Roller 15,29.08,254,t,Critical
ORD-013249,2025-12-22,2025-12-25,Processing,Elbe North Hub,Small Business,Wireless Mouse 01,472.74,253,t,Critical
ORD-023086,2025-12-22,2025-12-25,Processing,Main Central Hub,Mid-Market,Yoga Mat 06,142.54,253,t,Critical
ORD-005205,2025-12-22,2025-12-24,On Hold,Spree Fulfilment Centre,Consumer,Coffee Press 07,30.37,253,t,Critical
ORD-028497,2025-12-23,2025-12-28,Processing,Rhine-Ruhr Fulfilment Centre,Small Business,Massage Roller 05,16.87,252,t,Critical
ORD-024171,2025-12-23,2025-12-26,Processing,Spree Fulfilment Centre,Consumer,Notebook Set 01,14.30,252,t,Critical
ORD-021128,2025-12-24,2025-12-28,On Hold,Main Central Hub,Consumer,USB-C Hub 02,107.90,251,t,Critical
ORD-024944,2025-12-25,2025-12-28,Processing,Elbe North Hub,Consumer,Marker Set 04,24.99,250,t,Critical
ORD-000176,2025-12-26,2025-12-30,Processing,Elbe North Hub,Enterprise,Travel Adapter 13,161.03,249,t,Critical
ORD-012250,2025-12-26,2025-12-31,On Hold,Main Central Hub,Small Business,Protective Sleeve 09,101.07,249,t,Critical
ORD-002774,2025-12-26,2025-12-31,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Desk Organiser 02,7.73,249,t,Critical
ORD-025961,2025-12-27,2025-12-30,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Travel Adapter 13,22.43,248,t,Critical
ORD-025539,2025-12-28,2026-01-01,Processing,Main Central Hub,Consumer,Water Bottle 15,52.70,247,t,Critical
ORD-028871,2025-12-29,2026-01-03,On Hold,Spree Fulfilment Centre,Consumer,USB-C Hub 12,209.44,246,t,Critical
ORD-015597,2025-12-29,2026-01-01,On Hold,Rhine-Ruhr Fulfilment Centre,Small Business,Storage Set 01,43.74,246,t,Critical
ORD-013923,2025-12-30,2026-01-03,On Hold,Rhine-Ruhr Fulfilment Centre,Consumer,Kitchen Scale 19,21.71,245,t,Critical
ORD-028669,2025-12-31,2026-01-04,Processing,Rhine-Ruhr Fulfilment Centre,Mid-Market,Storage Set 16,423.63,244,t,Critical
ORD-006791,2026-01-01,2026-01-04,Processing,Elbe North Hub,Mid-Market,Protective Sleeve 14,144.15,243,t,Critical
ORD-015197,2026-01-02,2026-01-06,On Hold,Spree Fulfilment Centre,Small Business,Webcam 09,278.55,242,t,Critical
ORD-029625,2026-01-02,2026-01-04,On Hold,Spree Fulfilment Centre,Consumer,Wireless Mouse 01,119.64,242,t,Critical
ORD-001227,2026-01-03,2026-01-08,On Hold,Saxony Distribution Hub,Small Business,Mechanical Keyboard 15,125.68,241,t,Critical
ORD-016642,2026-01-05,2026-01-10,Processing,Rhine-Ruhr Fulfilment Centre,Small Business,Skin Care Set 18,54.56,239,t,Critical
ORD-014332,2026-01-06,2026-01-10,On Hold,Main Central Hub,Consumer,Hiking Bottle 18,191.83,238,t,Critical
ORD-014822,2026-01-07,2026-01-09,Processing,Isar South Centre,Small Business,Charging Pouch 05,25.77,237,t,Critical
ORD-027588,2026-01-08,2026-01-13,On Hold,Saxony Distribution Hub,Mid-Market,Printer Paper 18,27.57,236,t,Critical
ORD-012942,2026-01-08,2026-01-12,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,USB-C Hub 02,105.85,236,t,Critical
ORD-024399,2026-01-09,2026-01-13,Processing,Rhine-Ruhr Fulfilment Centre,Small Business,Hiking Bottle 03,160.43,235,t,Critical
ORD-013314,2026-01-13,2026-01-16,On Hold,Main Central Hub,Consumer,Wireless Mouse 16,139.40,231,t,Critical
ORD-016261,2026-01-14,2026-01-18,Processing,Main Central Hub,Mid-Market,USB-C Hub 02,428.99,230,t,Critical
ORD-015390,2026-01-14,2026-01-17,On Hold,Saxony Distribution Hub,Consumer,Kitchen Scale 04,48.87,230,t,Critical
ORD-010667,2026-01-16,2026-01-20,Processing,Spree Fulfilment Centre,Consumer,Hair Dryer 04,19.16,228,t,Critical
ORD-020400,2026-01-16,2026-01-20,Processing,Elbe North Hub,Consumer,Electric Toothbrush 16,47.28,228,t,Critical
ORD-002352,2026-01-18,2026-01-21,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Mechanical Keyboard 05,86.42,226,t,Critical
ORD-016397,2026-01-19,2026-01-21,Processing,Main Central Hub,Mid-Market,Storage Set 16,160.41,225,t,Critical
ORD-002435,2026-01-20,2026-01-25,Processing,Main Central Hub,Small Business,USB-C Hub 07,434.71,224,t,Critical
ORD-014950,2026-01-20,2026-01-23,On Hold,Saxony Distribution Hub,Small Business,Notebook Set 11,62.95,224,t,Critical
ORD-001889,2026-01-20,2026-01-23,Processing,Elbe North Hub,Consumer,Grooming Kit 02,35.41,224,t,Critical
ORD-009705,2026-01-20,2026-01-24,On Hold,Main Central Hub,Consumer,Cable Set 07,48.09,224,t,Critical
ORD-004644,2026-01-21,2026-01-26,On Hold,Main Central Hub,Small Business,Massage Roller 05,50.78,223,t,Critical
ORD-015967,2026-01-22,2026-01-25,On Hold,Spree Fulfilment Centre,Small Business,USB-C Hub 17,316.25,222,t,Critical
ORD-005429,2026-01-22,2026-01-25,Processing,Main Central Hub,Consumer,Marker Set 14,19.60,222,t,Critical
ORD-005528,2026-01-23,2026-01-26,Processing,Elbe North Hub,Consumer,Electric Toothbrush 01,68.18,221,t,Critical
ORD-018522,2026-01-23,2026-01-25,Processing,Rhine-Ruhr Fulfilment Centre,Enterprise,Notebook Set 01,126.04,221,t,Critical
ORD-009893,2026-01-23,2026-01-28,Processing,Spree Fulfilment Centre,Consumer,Phone Stand 01,13.23,221,t,Critical
ORD-025743,2026-01-25,2026-01-28,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Desk Organiser 12,9.04,219,t,Critical
ORD-001573,2026-01-26,2026-01-30,On Hold,Isar South Centre,Consumer,Kitchen Scale 09,33.89,218,t,Critical
ORD-007486,2026-01-27,2026-01-30,On Hold,Isar South Centre,Consumer,Kitchen Scale 19,21.81,217,t,Critical
ORD-018985,2026-01-28,2026-01-31,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Wireless Mouse 16,133.91,216,t,Critical
ORD-002087,2026-01-28,2026-01-31,Processing,Saxony Distribution Hub,Consumer,Protective Sleeve 09,35.22,216,t,Critical
ORD-019231,2026-01-29,2026-02-01,Processing,Rhine-Ruhr Fulfilment Centre,Small Business,Protective Sleeve 04,67.94,215,t,Critical
ORD-002234,2026-01-29,2026-02-01,On Hold,Spree Fulfilment Centre,Mid-Market,Desk Lamp 03,156.87,215,t,Critical
ORD-018278,2026-02-03,2026-02-06,Processing,Main Central Hub,Consumer,Yoga Mat 11,185.30,210,t,Critical
ORD-026816,2026-02-03,2026-02-07,On Hold,Main Central Hub,Consumer,Charging Pouch 10,20.83,210,t,Critical
ORD-012909,2026-02-03,2026-02-06,On Hold,Spree Fulfilment Centre,Consumer,Travel Adapter 18,19.81,210,t,Critical
ORD-016474,2026-02-04,2026-02-06,On Hold,Saxony Distribution Hub,Small Business,Notebook Set 01,55.54,209,t,Critical
ORD-025700,2026-02-05,2026-02-07,Processing,Rhine-Ruhr Fulfilment Centre,Small Business,Kitchen Scale 19,107.32,208,t,Critical
ORD-015769,2026-02-06,2026-02-11,Processing,Saxony Distribution Hub,Mid-Market,Marker Set 04,23.86,207,t,Critical
ORD-028946,2026-02-06,2026-02-10,Processing,Rhine-Ruhr Fulfilment Centre,Small Business,Storage Set 11,69.19,207,t,Critical
ORD-026931,2026-02-11,2026-02-15,Processing,Main Central Hub,Consumer,Wireless Mouse 06,170.17,202,t,Critical
ORD-027587,2026-02-11,2026-02-16,Processing,Spree Fulfilment Centre,Consumer,Notebook Set 01,29.04,202,t,Critical
ORD-028465,2026-02-12,2026-02-14,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Mechanical Keyboard 15,62.48,201,t,Critical
ORD-020581,2026-02-12,2026-02-18,Processing,Saxony Distribution Hub,Consumer,Fitness Tracker Band 20,202.54,201,t,Critical
ORD-012479,2026-02-13,2026-02-16,On Hold,Main Central Hub,Consumer,Marker Set 14,9.88,200,t,Critical
