inventory_date,warehouse_id,product_id,opening_stock,received_quantity,shipped_quantity,closing_stock,reorder_level
2025-09-01,WH-002,PRD-0097,13,0,0,13,7
2025-09-01,WH-002,PRD-0098,14,0,0,14,9
2025-09-01,WH-002,PRD-0099,13,0,0,13,9
2025-09-01,WH-002,PRD-0100,12,0,0,12,8
2025-09-01,WH-002,PRD-0101,25,0,0,25,11
2025-09-01,WH-002,PRD-0102,19,0,0,19,13
2025-09-01,WH-002,PRD-0103,17,0,0,17,9
2025-09-01,WH-002,PRD-0104,22,0,0,22,11
2025-09-01,WH-002,PRD-0105,18,0,0,18,11
2025-09-01,WH-002,PRD-0106,16,0,0,16,11
2025-09-01,WH-002,PRD-0107,13,0,0,13,7
2025-09-01,WH-002,PRD-0108,13,0,0,13,7
2025-09-01,WH-002,PRD-0109,16,0,0,16,7
2025-09-01,WH-002,PRD-0110,15,0,0,15,9
2025-09-01,WH-002,PRD-0111,11,0,0,11,7
2025-09-01,WH-002,PRD-0112,13,0,0,13,8
2025-09-01,WH-002,PRD-0113,13,0,0,13,8
2025-09-01,WH-002,PRD-0114,16,0,0,16,8
2025-09-01,WH-002,PRD-0115,18,0,0,18,8
2025-09-01,WH-002,PRD-0116,20,0,0,20,10
2025-09-01,WH-002,PRD-0117,21,0,0,21,10
2025-09-01,WH-002,PRD-0118,20,0,0,20,9
2025-09-01,WH-002,PRD-0119,21,0,0,21,9
2025-09-01,WH-002,PRD-0120,13,0,0,13,8
2025-09-01,WH-003,PRD-0001,29,0,21,8,13
2025-09-01,WH-003,PRD-0002,32,0,2,30,14
2025-09-01,WH-003,PRD-0003,17,0,0,17,10
2025-09-01,WH-003,PRD-0004,17,0,2,15,12
2025-09-01,WH-003,PRD-0005,26,0,0,26,12
2025-09-01,WH-003,PRD-0006,18,0,0,18,11
2025-09-01,WH-003,PRD-0007,10,0,0,10,7
2025-09-01,WH-003,PRD-0008,15,0,0,15,7
2025-09-01,WH-003,PRD-0009,20,0,0,20,9
2025-09-01,WH-003,PRD-0010,14,0,0,14,7
2025-09-01,WH-003,PRD-0011,11,0,0,11,7
2025-09-01,WH-003,PRD-0012,18,0,0,18,9
2025-09-01,WH-003,PRD-0013,14,0,0,14,8
2025-09-01,WH-003,PRD-0014,16,0,0,16,8
2025-09-01,WH-003,PRD-0015,19,0,0,19,9
2025-09-01,WH-003,PRD-0016,14,0,0,14,8
2025-09-01,WH-003,PRD-0017,12,0,0,12,8
2025-09-01,WH-003,PRD-0018,19,0,0,19,9
2025-09-01,WH-003,PRD-0019,15,0,0,15,8
2025-09-01,WH-003,PRD-0020,18,10,0,28,8
2025-09-01,WH-003,PRD-0021,20,0,3,17,11
2025-09-01,WH-003,PRD-0022,21,0,0,21,14
2025-09-01,WH-003,PRD-0023,18,0,0,18,10
2025-09-01,WH-003,PRD-0024,16,0,4,12,10
2025-09-01,WH-003,PRD-0025,25,0,0,25,11
2025-09-01,WH-003,PRD-0026,15,0,0,15,9
2025-09-01,WH-003,PRD-0027,16,0,0,16,7
2025-09-01,WH-003,PRD-0028,11,0,0,11,7
2025-09-01,WH-003,PRD-0029,13,0,0,13,9
2025-09-01,WH-003,PRD-0030,11,0,0,11,7
2025-09-01,WH-003,PRD-0031,17,0,0,17,8
2025-09-01,WH-003,PRD-0032,12,0,0,12,8
2025-09-01,WH-003,PRD-0033,14,0,0,14,8
2025-09-01,WH-003,PRD-0034,10,0,0,10,7
2025-09-01,WH-003,PRD-0035,18,0,0,18,9
2025-09-01,WH-003,PRD-0036,13,0,0,13,9
2025-09-01,WH-003,PRD-0037,16,0,0,16,8
2025-09-01,WH-003,PRD-0038,15,0,0,15,7
2025-09-01,WH-003,PRD-0039,14,0,0,14,7
2025-09-01,WH-003,PRD-0040,22,0,0,22,10
2025-09-01,WH-003,PRD-0041,26,26,0,52,13
2025-09-01,WH-003,PRD-0042,21,0,0,21,15
2025-09-01,WH-003,PRD-0043,16,0,0,16,9
2025-09-01,WH-003,PRD-0044,19,0,0,19,12
2025-09-01,WH-003,PRD-0045,19,0,0,19,12
2025-09-01,WH-003,PRD-0046,18,0,0,18,11
2025-09-01,WH-003,PRD-0047,17,0,0,17,9
2025-09-01,WH-003,PRD-0048,13,0,0,13,8
2025-09-01,WH-003,PRD-0049,14,0,0,14,10
2025-09-01,WH-003,PRD-0050,11,0,0,11,7
2025-09-01,WH-003,PRD-0051,13,0,0,13,8
2025-09-01,WH-003,PRD-0052,10,0,0,10,7
2025-09-01,WH-003,PRD-0053,20,0,0,20,9
2025-09-01,WH-003,PRD-0054,16,0,0,16,8
2025-09-01,WH-003,PRD-0055,18,0,0,18,8
2025-09-01,WH-003,PRD-0056,15,0,0,15,7
2025-09-01,WH-003,PRD-0057,13,0,0,13,7
2025-09-01,WH-003,PRD-0058,14,0,0,14,8
2025-09-01,WH-003,PRD-0059,18,0,0,18,9
2025-09-01,WH-003,PRD-0060,21,0,0,21,10
2025-09-01,WH-003,PRD-0061,18,0,1,17,13
2025-09-01,WH-003,PRD-0062,23,22,0,45,14
2025-09-01,WH-003,PRD-0063,15,0,0,15,9
2025-09-01,WH-003,PRD-0064,16,0,2,14,9
2025-09-01,WH-003,PRD-0065,24,0,0,24,11
2025-09-01,WH-003,PRD-0066,21,0,0,21,12
2025-09-01,WH-003,PRD-0067,11,0,0,11,8
2025-09-01,WH-003,PRD-0068,17,0,3,14,8
2025-09-01,WH-003,PRD-0069,11,0,0,11,7
2025-09-01,WH-003,PRD-0070,16,0,0,16,8
2025-09-01,WH-003,PRD-0071,15,0,0,15,9
2025-09-01,WH-003,PRD-0072,15,0,0,15,8
2025-09-01,WH-003,PRD-0073,12,0,0,12,8
2025-09-01,WH-003,PRD-0074,12,0,0,12,8
2025-09-01,WH-003,PRD-0075,18,0,0,18,10
2025-09-01,WH-003,PRD-0076,18,0,0,18,8
2025-09-01,WH-003,PRD-0077,13,0,0,13,9
2025-09-01,WH-003,PRD-0078,18,0,0,18,8
2025-09-01,WH-003,PRD-0079,12,0,0,12,8
2025-09-01,WH-003,PRD-0080,10,0,0,10,7
2025-09-01,WH-003,PRD-0081,19,0,2,17,13
2025-09-01,WH-003,PRD-0082,21,0,1,20,13
2025-09-01,WH-003,PRD-0083,16,0,0,16,11
2025-09-01,WH-003,PRD-0084,19,0,0,19,10
2025-09-01,WH-003,PRD-0085,22,0,0,22,12
2025-09-01,WH-003,PRD-0086,18,0,0,18,12
2025-09-01,WH-003,PRD-0087,18,0,0,18,10
2025-09-01,WH-003,PRD-0088,13,0,0,13,9
2025-09-01,WH-003,PRD-0089,15,0,0,15,9
2025-09-01,WH-003,PRD-0090,16,0,0,16,7
2025-09-01,WH-003,PRD-0091,18,0,0,18,8
2025-09-01,WH-003,PRD-0092,13,0,1,12,8
2025-09-01,WH-003,PRD-0093,17,0,0,17,10
2025-09-01,WH-003,PRD-0094,15,0,0,15,7
2025-09-01,WH-003,PRD-0095,13,0,0,13,8
2025-09-01,WH-003,PRD-0096,13,0,0,13,7
2025-09-01,WH-003,PRD-0097,13,0,0,13,8
2025-09-01,WH-003,PRD-0098,16,0,0,16,8
2025-09-01,WH-003,PRD-0099,15,0,0,15,8
2025-09-01,WH-003,PRD-0100,15,0,0,15,8
2025-09-01,WH-003,PRD-0101,20,0,1,19,12
2025-09-01,WH-003,PRD-0102,24,0,0,24,13
2025-09-01,WH-003,PRD-0103,20,0,0,20,10
2025-09-01,WH-003,PRD-0104,14,0,0,14,10
2025-09-01,WH-003,PRD-0105,18,0,0,18,11
2025-09-01,WH-003,PRD-0106,16,0,0,16,11
2025-09-01,WH-003,PRD-0107,12,0,0,12,8
2025-09-01,WH-003,PRD-0108,19,0,0,19,9
2025-09-01,WH-003,PRD-0109,13,0,0,13,8
2025-09-01,WH-003,PRD-0110,15,0,0,15,8
2025-09-01,WH-003,PRD-0111,15,0,0,15,7
2025-09-01,WH-003,PRD-0112,15,0,0,15,7
2025-09-01,WH-003,PRD-0113,14,0,0,14,8
2025-09-01,WH-003,PRD-0114,13,0,0,13,8
2025-09-01,WH-003,PRD-0115,17,0,0,17,9
2025-09-01,WH-003,PRD-0116,14,0,0,14,8
2025-09-01,WH-003,PRD-0117,16,0,1,15,8
2025-09-01,WH-003,PRD-0118,20,0,0,20,9
2025-09-01,WH-003,PRD-0119,21,0,0,21,10
2025-09-01,WH-003,PRD-0120,15,0,0,15,9
2025-09-01,WH-004,PRD-0001,21,0,0,21,11
2025-09-01,WH-004,PRD-0002,22,0,0,22,14
2025-09-01,WH-004,PRD-0003,20,0,0,20,12
2025-09-01,WH-004,PRD-0004,16,0,0,16,10
2025-09-01,WH-004,PRD-0005,16,0,0,16,11
2025-09-01,WH-004,PRD-0006,25,0,0,25,12
2025-09-01,WH-004,PRD-0007,11,0,0,11,7
2025-09-01,WH-004,PRD-0008,15,0,0,15,7
2025-09-01,WH-004,PRD-0009,12,0,0,12,8
2025-09-01,WH-004,PRD-0010,18,0,0,18,8
2025-09-01,WH-004,PRD-0011,12,0,0,12,7
2025-09-01,WH-004,PRD-0012,15,0,0,15,9
2025-09-01,WH-004,PRD-0013,16,0,0,16,8
2025-09-01,WH-004,PRD-0014,17,0,0,17,8
2025-09-01,WH-004,PRD-0015,13,0,0,13,8
2025-09-01,WH-004,PRD-0016,14,0,0,14,9
2025-09-01,WH-004,PRD-0017,16,0,0,16,7
2025-09-01,WH-004,PRD-0018,20,0,0,20,9
2025-09-01,WH-004,PRD-0018,20,0,0,20,9
2025-09-01,WH-004,PRD-0019,12,0,0,12,8
2025-09-01,WH-004,PRD-0020,12,0,3,9,8
2025-09-01,WH-004,PRD-0021,27,0,0,27,13
2025-09-01,WH-004,PRD-0022,28,0,0,28,15
2025-09-01,WH-004,PRD-0023,15,0,0,15,10
2025-09-01,WH-004,PRD-0024,22,0,0,22,12
2025-09-01,WH-004,PRD-0025,20,0,0,20,12
2025-09-01,WH-004,PRD-0026,17,0,0,17,9
2025-09-01,WH-004,PRD-0027,15,0,0,15,8
2025-09-01,WH-004,PRD-0028,16,0,0,16,7
2025-09-01,WH-004,PRD-0029,17,0,0,17,8
2025-09-01,WH-004,PRD-0030,15,0,4,11,7
2025-09-01,WH-004,PRD-0031,14,0,0,14,7
2025-09-01,WH-004,PRD-0032,16,0,0,16,8
2025-09-01,WH-004,PRD-0033,20,0,0,20,9
2025-09-01,WH-004,PRD-0034,15,0,0,15,8
2025-09-01,WH-004,PRD-0035,16,0,0,16,9
2025-09-01,WH-004,PRD-0036,17,0,0,17,8
2025-09-01,WH-004,PRD-0037,13,0,0,13,7
2025-09-01,WH-004,PRD-0038,15,0,0,15,7
2025-09-01,WH-004,PRD-0039,13,0,0,13,8
2025-09-01,WH-004,PRD-0040,15,0,0,15,8
2025-09-01,WH-004,PRD-0041,19,0,0,19,11
2025-09-01,WH-004,PRD-0042,26,0,0,26,14
2025-09-01,WH-004,PRD-0043,19,0,0,19,9
2025-09-01,WH-004,PRD-0044,19,0,0,19,10
2025-09-01,WH-004,PRD-0045,19,0,0,19,10
2025-09-01,WH-004,PRD-0046,13,0,0,13,9
2025-09-01,WH-004,PRD-0047,16,0,0,16,8
2025-09-01,WH-004,PRD-0048,13,0,0,13,8
2025-09-01,WH-004,PRD-0049,18,0,0,18,8
2025-09-01,WH-004,PRD-0050,19,0,0,19,9
2025-09-01,WH-004,PRD-0051,14,0,0,14,7
2025-09-01,WH-004,PRD-0052,12,0,0,12,8
2025-09-01,WH-004,PRD-0053,16,0,0,16,7
2025-09-01,WH-004,PRD-0054,14,0,0,14,7
2025-09-01,WH-004,PRD-0055,13,0,0,13,7
2025-09-01,WH-004,PRD-0056,16,0,0,16,7
2025-09-01,WH-004,PRD-0057,10,0,0,10,6
2025-09-01,WH-004,PRD-0058,15,0,3,12,8
2025-09-01,WH-004,PRD-0059,14,0,0,14,8
2025-09-01,WH-004,PRD-0060,13,0,0,13,9
2025-09-01,WH-004,PRD-0061,22,0,0,22,14
2025-09-01,WH-004,PRD-0062,34,0,0,34,15
2025-09-01,WH-004,PRD-0063,23,0,0,23,10
2025-09-01,WH-004,PRD-0064,18,0,0,18,9
2025-09-01,WH-004,PRD-0065,22,0,0,22,10
2025-09-01,WH-004,PRD-0066,14,0,0,14,10
2025-09-01,WH-004,PRD-0067,13,0,0,13,8
2025-09-01,WH-004,PRD-0068,13,0,0,13,8
2025-09-01,WH-004,PRD-0069,13,0,0,13,7
2025-09-01,WH-004,PRD-0070,16,0,0,16,8
2025-09-01,WH-004,PRD-0071,14,0,0,14,7
2025-09-01,WH-004,PRD-0072,15,0,1,14,9
2025-09-01,WH-004,PRD-0073,14,0,0,14,8
2025-09-01,WH-004,PRD-0074,13,0,0,13,8
2025-09-01,WH-004,PRD-0075,21,0,0,21,10
2025-09-01,WH-004,PRD-0076,18,0,2,16,8
2025-09-01,WH-004,PRD-0077,16,0,3,13,7
2025-09-01,WH-004,PRD-0078,19,0,1,18,9
2025-09-01,WH-004,PRD-0079,15,0,0,15,8
2025-09-01,WH-004,PRD-0080,16,0,0,16,8
2025-09-01,WH-004,PRD-0081,20,0,0,20,14
2025-09-01,WH-004,PRD-0082,28,0,0,28,14
2025-09-01,WH-004,PRD-0083,16,0,0,16,11
2025-09-01,WH-004,PRD-0084,15,0,0,15,9
2025-09-01,WH-004,PRD-0085,23,0,0,23,12
2025-09-01,WH-004,PRD-0086,18,0,10,8,9
2025-09-01,WH-004,PRD-0087,18,0,0,18,9
2025-09-01,WH-004,PRD-0088,14,0,0,14,9
2025-09-01,WH-004,PRD-0089,11,0,0,11,7
2025-09-01,WH-004,PRD-0090,14,0,0,14,8
2025-09-01,WH-004,PRD-0091,12,0,0,12,7
2025-09-01,WH-004,PRD-0092,17,0,3,14,9
2025-09-01,WH-004,PRD-0093,21,0,0,21,9
2025-09-01,WH-004,PRD-0094,12,0,0,12,6
2025-09-01,WH-004,PRD-0095,12,0,0,12,7
2025-09-01,WH-004,PRD-0096,12,0,0,12,7
2025-09-01,WH-004,PRD-0097,13,0,0,13,8
2025-09-01,WH-004,PRD-0098,16,0,1,15,8
2025-09-01,WH-004,PRD-0099,19,0,1,18,9
2025-09-01,WH-004,PRD-0100,18,0,0,18,8
2025-09-01,WH-004,PRD-0101,30,0,0,30,15
2025-09-01,WH-004,PRD-0102,33,0,0,33,15
2025-09-01,WH-004,PRD-0103,23,0,0,23,12
2025-09-01,WH-004,PRD-0104,15,0,0,15,10
2025-09-01,WH-004,PRD-0105,22,0,0,22,11
2025-09-01,WH-004,PRD-0106,16,0,0,16,11
2025-09-01,WH-004,PRD-0107,11,0,0,11,7
2025-09-01,WH-004,PRD-0108,10,0,0,10,7
2025-09-01,WH-004,PRD-0109,16,0,0,16,8
2025-09-01,WH-004,PRD-0110,13,0,0,13,9
2025-09-01,WH-004,PRD-0111,16,0,0,16,8
2025-09-01,WH-004,PRD-0112,14,0,0,14,7
2025-09-01,WH-004,PRD-0113,15,0,0,15,9
2025-09-01,WH-004,PRD-0114,13,0,0,13,9
2025-09-01,WH-004,PRD-0115,21,0,0,21,10
2025-09-01,WH-004,PRD-0116,21,0,0,21,10
2025-09-01,WH-004,PRD-0117,19,0,0,19,9
2025-09-01,WH-004,PRD-0118,18,0,0,18,9
