product_id,product_name,product_category,unit_cost_eur,unit_price_eur,weight_kg,supplier_lead_time_days
PRD-0067,Resistance Bands 07,Sports & Outdoors,49.42,98.98,1.48,8
PRD-0068,Hiking Bottle 08,Sports and Outdoors,51.16,90.11,1.50,14
PRD-0069,Training Bag 09,Sports & Outdoors,45.83,75.76,1.18,6
PRD-0070,Fitness Tracker Band 10,Sports & Outdoors,41.50,73.04,0.91,11
PRD-0071,Yoga Mat 11,Sports & Outdoors,25.90,46.93,0.87,14
PRD-0072,Resistance Bands 12,Sports & Outdoors,50.21,89.50,1.46,3
PRD-0073,Hiking Bottle 13,Sports & Outdoors,49.11,93.82,1.04,13
PRD-0074,Training Bag 14,Sports & Outdoors,27.93,48.65,0.65,7
PRD-0075,Fitness Tracker Band 15,Sports & Outdoors,27.07,39.53,1.66,7
PRD-0076,Yoga Mat 16,Sports & Outdoors,47.21,82.48,1.65,13
PRD-0077,Resistance Bands 17,Sports & Outdoors,40.00,72.64,0.99,14
PRD-0078,Hiking Bottle 18,Sports & Outdoors,17.58,38.69,1.34,4
PRD-0079,Training Bag 19,Sports & Outdoors,50.36,96.75,0.63,3
PRD-0080,Fitness Tracker Band 20,Sports & Outdoors,48.68,103.40,1.70,8
PRD-0081,Notebook Set 01,Office Supplies,8.50,14.75,0.78,14
PRD-0082,Desk Organiser 02,Office Supplies,5.40,8.10,0.62,6
PRD-0083,Printer Paper 03,Office Supplies,10.50,20.52,0.39,3
PRD-0084,Marker Set 04,Office Supplies,5.98,12.99,0.67,8
PRD-0085,Laptop Stand 05,Office Supplies,12.60,18.98,0.69,11
PRD-0086,Notebook Set 06,Office Supplies,9.42,15.51,0.44,12
PRD-0087,Desk Organiser 07,Office Supplies,11.70,18.64,0.56,7
PRD-0088,Printer Paper 08,Office Supplies,7.90,11.54,0.26,5
PRD-0089,Marker Set 09,Office Supplies,9.39,19.45,0.74,13
PRD-0090,Laptop Stand 10,Office Supplies,12.14,19.95,0.69,6
PRD-0091,Notebook Set 11,office supplies,9.46,17.00,0.65,11
PRD-0092,Desk Organiser 12,Office Supplies,6.35,9.28,0.67,9
PRD-0093,Printer Paper 13,Office Supplies,6.81,12.32,0.32,13
PRD-0094,Marker Set 14,Office Supplies,4.89,10.11,0.32,5
PRD-0095,Laptop Stand 15,Office Supplies,11.55,23.45,0.68,7
PRD-0096,Notebook Set 16,Office Supplies,9.33,19.73,0.22,5
PRD-0097,Desk Organiser 17,Office Supplies,7.74,12.37,0.45,12
PRD-0098,Printer Paper 18,office supplies,10.40,15.34,0.35,14
PRD-0099,Marker Set 19,Office Supplies,8.77,16.51,0.76,9
PRD-0100,Laptop Stand 20,Office Supplies,11.60,17.01,0.58,12
PRD-0101,Phone Stand 01,Accessories,8.53,13.77,0.26,4
PRD-0102,Cable Set 02,Accessories,8.30,16.81,0.26,10
PRD-0103,Travel Adapter 03,Accessories,21.38,31.55,0.13,10
PRD-0104,Protective Sleeve 04,Accessories,11.04,23.77,0.20,5
PRD-0105,Charging Pouch 05,Accessories,17.62,26.75,0.17,14
PRD-0106,Phone Stand 06,Accessories,12.42,26.75,0.13,14
PRD-0107,Cable Set 07,Accessories,11.81,25.00,0.38,14
PRD-0108,Travel Adapter 08,Accessories,17.39,29.97,0.23,5
PRD-0109,Protective Sleeve 09,Accessories,21.97,35.49,0.23,3
PRD-0110,Charging Pouch 10,Accessories,13.20,21.36,0.31,8
PRD-0111,Phone Stand 11,ACCESSORIES,17.37,36.21,0.20,13
PRD-0112,Cable Set 12,ACCESSORIES,21.17,35.02,0.23,10
PRD-0113,Travel Adapter 13,Accessories,12.50,22.45,0.39,6
PRD-0114,Protective Sleeve 14,Accessories,20.81,39.41,0.34,6
PRD-0115,Charging Pouch 15,Accessories,11.88,18.50,0.12,10
PRD-0116,Phone Stand 16,Accessories,20.39,32.75,0.27,11
PRD-0117,Cable Set 17,Accessories,10.88,18.87,0.24,9
PRD-0118,Travel Adapter 18,Accessories,12.53,21.02,0.19,13
PRD-0119,Protective Sleeve 19,Accessories,23.68,38.98,0.17,8
PRD-0120,Charging Pouch 20,Accessories,14.23,25.17,0.19,12
