order_id,customer_id,product_id,warehouse_id,order_date,promised_delivery_date,order_status,order_quantity,unit_price_eur,discount_pct,order_value_eur,sales_channel
ORD-000017,CUST-03873,PRD-0042,WH-004,2026-06-30,2026-07-02,Delivered,2,37.14,0.0325,71.87,Online Store
ORD-000018,CUST-02692,PRD-0082,WH-006,2026-04-04,2026-04-07,Delivered,1,8.10,0.0504,7.69,Online Store
ORD-000019,CUST-03145,PRD-0041,WH-001,2026-04-17,2026-04-21,Delivered,1,35.10,0.0004,35.09,Online Store
ORD-000020,CUST-00968,PRD-0058,WH-003,2026-08-03,2026-08-07,Delivered,5,11.53,0.0013,57.58,Online Store
ORD-000021,CUST-00001,PRD-0073,WH-003,2026-08-07,2026-08-09,Delivered,1,93.82,0.0565,88.52,Online Store
ORD-000022,CUST-02952,PRD-0048,WH-003,2025-09-03,2025-09-07,Delivered,3,30.88,0.0275,90.09,EDI
ORD-000023,CUST-00317,PRD-0077,WH-001,2025-10-22,2025-10-25,Delivered,2,72.64,0.0544,137.38,EDI
ORD-000024,CUST-03574,PRD-0061,WH-004,2026-05-28,2026-06-01,Delivered,1,55.56,0.0476,52.92,Online Store
ORD-000025,CUST-00783,PRD-0086,WH-004,2026-03-17,2026-03-21,Delivered,2,15.51,0.0397,29.79,Online Store
ORD-000026,CUST-03758,PRD-0062,WH-002,2026-03-05,2026-03-08,Delivered,3,87.71,0.0503,249.89,Online Store
ORD-000027,CUST-03531,PRD-0053,WH-004,2026-02-18,2026-02-21,Delivered,8,9.64,0.0806,70.90,Online Store
ORD-000028,CUST-02942,PRD-0091,WH-003,2025-12-17,2025-12-22,Delivered,2,17.00,0.0521,32.23,Online Store
ORD-000029,CUST-02579,PRD-0014,WH-001,2026-06-02,2026-06-06,Delivered,3,102.60,0.0231,300.69,EDI
ORD-000030,CUST-02420,PRD-0101,WH-002,2026-08-20,2026-08-24,Delivered,2,13.77,0.0335,26.62,Sales Desk
ORD-000031,CUST-02695,PRD-0070,WH-003,2026-05-26,2026-05-30,Delivered,2,73.04,0.0409,140.11,Marketplace
ORD-000032,CUST-02606,PRD-0075,WH-003,2025-11-29,2025-12-03,Delivered,1,39.53,0.0371,38.06,Online Store
ORD-000033,CUST-03895,PRD-0049,WH-004,2025-10-06,2025-10-10,Delivered,4,12.08,0.1273,42.17,Sales Desk
ORD-000034,CUST-00545,PRD-0023,WH-003,2025-11-16,2025-11-20,Delivered,1,56.17,0.0033,55.98,EDI
ORD-000035,CUST-01902,PRD-0063,WH-006,2025-12-04,2025-12-06,Delivered,1,33.68,0.0562,31.79,Marketplace
ORD-000036,CUST-03670,PRD-0033,WH-006,2026-01-22,2026-01-24,Delivered,2,34.77,0.0713,64.58,Online Store
ORD-000037,CUST-03710,PRD-0044,WH-005,2026-06-17,2026-06-20,Delivered,3,9.77,0.0499,27.85,Online Store
ORD-000038,CUST-02770,PRD-0061,WH-004,2026-06-20,2026-06-22,Delivered,2,55.56,0.0342,107.32,Online Store
ORD-000039,CUST-03655,PRD-0076,WH-003,2026-08-08,2026-08-14,Delivered,1,82.48,0.0268,80.27,EDI
ORD-000040,CUST-01242,PRD-0091,WH-001,2026-06-10,2026-06-13,Delivered,2,17.00,0.0331,32.87,Marketplace
ORD-000041,CUST-00706,PRD-0006,WH-001,2026-01-18,2026-01-22,Delivered,2,85.22,0.0256,166.08,Online Store
ORD-000042,CUST-02439,PRD-0033,WH-002,2026-03-20,2026-03-24,Delivered,5,34.77,0.0499,165.17,EDI
ORD-000043,CUST-01944,PRD-0120,WH-001,2026-05-25,2026-05-30,Delivered,2,25.17,0.0534,47.65,Online Store
ORD-000044,CUST-01023,PRD-0102,WH-004,2025-11-28,2025-12-01,Delivered,3,16.81,0.0403,48.40,Online Store
ORD-000045,CUST-03168,PRD-0106,WH-006,2026-05-21,2026-05-24,Delivered,3,26.75,0.0807,73.77,Online Store
ORD-000046,CUST-00622,PRD-0015,WH-006,2026-08-21,2026-08-25,Delivered,4,65.82,0.0995,237.08,Sales Desk
ORD-000047,CUST-01264,PRD-0022,WH-006,2026-07-09,2026-07-13,Delivered,1,43.91,0.0194,43.06,Online Store
ORD-000048,CUST-02034,PRD-0082,WH-003,2026-03-16,2026-03-21,Delivered,4,8.10,0.0887,29.53,Sales Desk
ORD-000049,CUST-02125,PRD-0082,WH-005,2026-03-29,2026-04-03,Delivered,1,8.10,0.0299,7.86,Online Store
ORD-000050,CUST-01732,PRD-0085,WH-006,2026-03-25,2026-03-28,Delivered,2,18.98,0.0166,37.33,Online Store
ORD-000051,CUST-02747,PRD-0036,WH-005,2025-11-26,2025-11-29,Delivered,1,56.69,0.0269,55.17,Marketplace
ORD-000052,CUST-00074,PRD-0102,WH-003,2025-10-06,2025-10-10,Delivered,1,16.81,0.0570,15.85,Online Store
ORD-000053,CUST-03308,PRD-0092,WH-003,2026-08-21,2026-08-25,Delivered,5,9.28,0.0282,45.09,EDI
ORD-000054,CUST-02885,PRD-0094,WH-002,2026-06-25,2026-06-28,Delivered,2,10.11,0.0243,19.73,Marketplace
ORD-000055,CUST-03405,PRD-0109,WH-005,2026-05-07,2026-05-12,Delivered,4,35.49,0.0505,134.79,Online Store
ORD-000056,CUST-00849,PRD-0082,WH-002,2025-11-07,2025-11-10,Delivered,1,8.10,0.0459,7.73,Marketplace
ORD-000057,CUST-01422,PRD-0060,WH-002,2026-08-30,2026-09-04,In Transit,2,10.74,0.0156,21.14,EDI
ORD-000058,CUST-00181,PRD-0021,WH-004,2026-03-15,2026-03-18,Delivered,1,45.05,0.0229,44.02,Online Store
ORD-000059,CUST-00813,PRD-0078,WH-006,2025-10-30,2025-11-04,Delivered,1,38.69,0.0167,38.04,Online Store
ORD-000060,CUST-03256,PRD-0006,WH-003,2026-01-14,2026-01-17,Delivered,4,85.22,0.0554,322.00,Online Store
ORD-000061,CUST-00133,PRD-0098,WH-002,2025-11-11,2025-11-14,Cancelled,4,15.34,0.0916,55.74,Online Store
ORD-000062,CUST-03109,PRD-0009,WH-002,2026-06-09,2026-06-15,Delivered,1,152.18,0.0202,149.11,Marketplace
ORD-000063,CUST-03967,PRD-0002,WH-002,2025-12-15,2025-12-19,Delivered,3,112.30,0.1019,302.57,EDI
ORD-000064,CUST-00023,PRD-0024,WH-006,2025-12-07,2025-12-11,Delivered,1,49.16,0.0558,46.42,Online Store
ORD-000065,CUST-00375,PRD-0044,WH-004,2026-07-13,2026-07-17,Delivered,10,9.77,0.1041,87.53,EDI
ORD-000066,CUST-03641,PRD-0102,WH-001,2025-12-22,2025-12-25,Delivered,1,16.81,0.0501,15.97,EDI
ORD-000067,CUST-03096,PRD-0031,WH-006,2025-09-03,2025-09-07,Delivered,5,71.57,0.0232,349.55,Online Store
ORD-000068,CUST-02879,PRD-0049,WH-003,2026-02-05,2026-02-09,Delivered,1,12.08,0.0038,12.03,Marketplace
ORD-000069,CUST-01719,PRD-0090,WH-004,2025-09-30,2025-10-04,Delivered,6,19.95,0.0687,111.48,EDI
ORD-000070,CUST-01317,PRD-0022,WH-004,2026-01-24,2026-01-26,Delivered,2,43.91,0.0130,86.68,Marketplace
ORD-000071,CUST-02986,PRD-0058,WH-006,2026-04-08,2026-04-11,Delivered,4,11.53,0.0498,43.82,EDI
ORD-000072,CUST-00884,PRD-0052,WH-006,2025-12-24,2025-12-27,Delivered,1,25.55,0.1192,22.50,Online Store
ORD-000073,CUST-03276,PRD-0115,WH-006,2025-12-24,2025-12-26,Delivered,1,18.50,0.0052,18.40,Marketplace
ORD-000074,CUST-03185,PRD-0021,WH-006,2026-05-24,2026-05-26,Delivered,2,45.05,0.0495,85.64,Online Store
ORD-000075,CUST-01960,PRD-0104,WH-001,2025-10-20,2025-10-25,Delivered,1,23.77,0.0345,22.95,Marketplace
ORD-000076,CUST-02356,PRD-0078,WH-004,2025-10-15,2025-10-19,Delivered,1,38.69,0.0394,37.17,Marketplace
ORD-000077,CUST-02982,PRD-0039,WH-003,2025-10-10,2025-10-13,Delivered,1,21.95,0.0368,21.14,Online Store
ORD-000078,CUST-03668,PRD-0048,WH-003,2026-01-31,2026-02-04,Delivered,4,30.88,0.0123,122.00,Online Store
ORD-000079,CUST-01481,PRD-0087,WH-006,2025-09-19,2025-09-24,Delivered,1,18.64,0.0053,18.54,Online Store
ORD-000080,CUST-03844,PRD-0099,WH-004,2026-04-25,2026-04-29,Delivered,3,16.51,0.0996,44.60,EDI
ORD-000081,CUST-01654,PRD-0062,WH-003,2025-10-27,2025-10-30,Delivered,4,87.71,0.0809,322.46,Sales Desk
ORD-000082,CUST-01426,PRD-0101,WH-006,2026-08-18,2026-08-21,Delivered,5,13.77,0.0398,66.11,Marketplace
ORD-000083,CUST-01520,PRD-0081,WH-004,2026-01-27,2026-01-31,Delivered,2,14.75,0.0008,29.48,Online Store
ORD-000084,CUST-02745,PRD-0002,WH-004,2025-11-05,2025-11-09,Delivered,1,112.30,0.0138,110.75,Online Store
ORD-000085,CUST-01341,PRD-0040,WH-003,2025-09-17,2025-09-21,Delivered,1,38.23,0.0349,36.90,Marketplace
ORD-000086,CUST-02965,PRD-0025,WH-002,2026-02-11,2026-02-14,Delivered,2,56.55,0.0320,109.48,EDI
ORD-000087,CUST-00439,PRD-0046,WH-003,2026-05-06,2026-05-09,Delivered,2,27.94,0.0260,54.43,Online Store
ORD-000088,CUST-00404,PRD-0040,WH-005,2026-06-26,2026-06-30,Delivered,1,38.23,0.0030,38.12,Online Store
ORD-000089,CUST-01698,PRD-0101,WH-006,2026-04-16,2026-04-20,Delivered,5,13.77,0.0398,66.11,EDI
ORD-000090,CUST-02909,PRD-0062,WH-006,2025-12-23,2025-12-28,Cancelled,1,87.71,0.0392,84.27,Online Store
ORD-000091,CUST-01913,PRD-0024,WH-006,2025-12-30,2026-01-02,Delivered,4,49.16,0.0033,195.99,Marketplace
ORD-000092,CUST-00752,PRD-0084,WH-001,2025-12-15,2025-12-18,Delivered,2,12.99,0.0388,24.97,Marketplace
ORD-000093,CUST-00441,PRD-0102,WH-001,2026-04-26,2026-04-30,Delivered,4,16.81,0.0316,65.12,Online Store
ORD-000094,CUST-02373,PRD-0073,WH-004,2026-01-21,2026-01-23,Delivered,2,93.82,0.0431,179.55,EDI
ORD-000095,CUST-01348,PRD-0112,WH-006,2025-09-30,2025-10-04,Delivered,2,35.02,0.0015,69.93,Online Store
ORD-000096,CUST-00544,PRD-0083,WH-006,2026-01-17,2026-01-22,Delivered,6,20.52,0.1396,105.93,Sales Desk
ORD-000097,CUST-00314,PRD-0102,WH-005,2026-05-26,2026-06-01,Delivered,2,16.81,0.0019,33.56,Marketplace
ORD-000098,CUST-03722,PRD-0057,WH-005,2026-07-24,2026-07-28,Delivered,1,35.09,0.0219,34.32,Online Store
ORD-000099,CUST-02454,PRD-0073,WH-004,2026-04-01,2026-04-06,Delivered,3,93.82,0.0530,266.54,Online Store
ORD-000100,CUST-03734,PRD-0087,WH-003,2026-02-09,2026-02-13,Delivered,1,18.64,0.0415,17.87,EDI
ORD-000101,CUST-02178,PRD-0102,WH-003,2025-12-16,2025-12-20,Delivered,1,16.81,0.0357,16.21,Online Store
ORD-000102,CUST-03157,PRD-0021,WH-006,2026-08-18,2026-08-22,Delivered,1,45.05,0.0036,44.89,Online Store
ORD-000103,CUST-00580,PRD-0081,WH-003,2026-05-20,2026-05-24,Delivered,1,14.75,0.0479,14.04,EDI
ORD-000104,CUST-03005,PRD-0063,WH-002,2026-08-24,2026-08-30,Delivered,1,33.68,0.0552,31.82,EDI
ORD-000105,CUST-01256,PRD-0081,WH-006,2026-01-09,2026-01-11,Delivered,1,14.75,0.0286,14.33,Sales Desk
ORD-000106,CUST-03324,PRD-0067,WH-006,2026-04-01,2026-04-05,Delivered,1,98.98,0.0418,94.84,Online Store
ORD-000107,CUST-00590,PRD-0023,WH-003,2025-11-22,2025-11-26,Processing,2,56.17,0.0315,108.80,Online Store
ORD-000108,CUST-02249,PRD-0025,WH-002,2025-09-29,2025-10-02,Delivered,10,56.55,0.1470,482.37,Online Store
ORD-000109,CUST-03773,PRD-0023,WH-003,2025-10-31,2025-11-03,Delivered,1,56.17,0.0478,53.49,EDI
ORD-000110,CUST-01579,PRD-0087,WH-004,2025-11-02,2025-11-05,Delivered,2,18.64,0.0793,34.32,EDI
ORD-000111,CUST-01391,PRD-0088,WH-005,2026-07-11,2026-07-15,Delivered,1,11.54,0.0360,11.12,Online Store
ORD-000112,CUST-01957,PRD-0093,WH-001,2026-04-03,2026-04-07,Delivered,1,12.32,0.0549,11.64,Marketplace
ORD-000113,CUST-01512,PRD-0012,WH-001,2026-08-20,2026-08-24,Delivered,1,105.16,0.0402,100.93,Marketplace
ORD-000114,CUST-01422,PRD-0106,WH-004,2026-01-20,2026-01-23,Delivered,5,26.75,0.0270,130.14,Online Store
ORD-000115,CUST-00897,PRD-0022,WH-001,2025-10-21,2025-10-25,Delivered,3,43.91,0.0283,128.00,Online Store
ORD-000116,CUST-02819,PRD-0060,WH-001,2026-02-06,2026-02-11,Delivered,1,10.74,0.0070,10.66,Marketplace
ORD-000117,CUST-02306,PRD-0110,WH-004,2025-09-21,2025-09-25,Delivered,2,21.36,0.0323,41.34,Sales Desk
ORD-000118,CUST-00650,PRD-0106,WH-002,2026-02-24,2026-02-26,Delivered,8,26.75,0.1050,191.53,EDI
ORD-000119,CUST-00199,PRD-0084,WH-006,2026-01-27,2026-02-01,Delivered,1,12.99,0.0878,11.85,EDI
ORD-000120,CUST-03932,PRD-0082,WH-001,2026-02-19,2026-02-23,Delivered,2,8.10,0.0600,15.23,EDI
ORD-000121,CUST-00649,PRD-0096,WH-004,2026-04-21,2026-04-24,Delivered,6,19.73,0.0879,107.97,Sales Desk
ORD-000122,CUST-00684,PRD-0084,WH-002,2026-05-26,2026-05-29,Delivered,10,12.99,0.1179,114.58,EDI
ORD-000123,CUST-01444,PRD-0044,WH-004,2026-01-15,2026-01-19,Delivered,2,9.77,0.0293,18.97,Marketplace
ORD-000124,CUST-03551,PRD-0064,WH-001,2025-12-19,2025-12-23,Delivered,1,77.37,0.0276,75.23,Online Store
ORD-000125,CUST-02714,PRD-0005,WH-002,2025-09-09,2025-09-12,Delivered,1,89.11,0.0267,86.73,Marketplace
ORD-000126,CUST-03686,PRD-0025,WH-001,2025-10-19,2025-10-24,Delivered,2,56.55,0.0271,110.03,EDI
ORD-000127,CUST-01384,PRD-0084,WH-006,2026-06-18,2026-06-23,Delivered,3,12.99,0.0350,37.61,Sales Desk
ORD-000128,CUST-01772,PRD-0116,WH-006,2025-12-11,2025-12-14,Delivered,1,32.75,0.0061,32.55,Online Store
ORD-000129,CUST-03254,PRD-0028,WH-001,2025-09-12,2025-09-15,Delivered,4,72.89,0.0210,285.44,Marketplace
ORD-000130,CUST-00892,PRD-0056,WH-002,2026-03-19,2026-03-23,Delivered,1,23.87,0.0521,22.63,EDI
ORD-000131,CUST-02097,PRD-0119,WH-001,2025-11-06,2025-11-11,Delivered,1,38.98,0.0367,37.55,Online Store
ORD-000132,CUST-00249,PRD-0025,WH-002,2026-04-13,2026-04-16,Delivered,2,56.55,0.0365,108.97,Sales Desk
ORD-000133,CUST-02016,PRD-0115,WH-002,2026-05-04,2026-05-09,Delivered,3,18.50,0.0484,52.81,Online Store
ORD-000134,CUST-00248,PRD-0001,WH-003,2026-05-22,2026-05-27,Delivered,1,121.54,0.0116,120.13,Online Store
ORD-000135,CUST-03150,PRD-0040,WH-004,2026-04-11,2026-04-15,Delivered,3,38.23,0.0011,114.56,Online Store
ORD-000136,CUST-01497,PRD-0022,WH-002,2026-08-12,2026-08-15,Delivered,2,43.91,0.0290,85.27,Online Store
ORD-000137,CUST-03416,PRD-0041,WH-001,2026-08-04,2026-08-08,Delivered,1,35.10,0.0525,33.26,Marketplace
ORD-000138,CUST-01792,PRD-0061,WH-001,2026-05-21,2026-05-24,Delivered,1,55.56,0.0010,55.50,Sales Desk
ORD-000139,CUST-02927,PRD-0002,WH-003,2026-06-27,2026-07-02,Delivered,1,112.30,0.0517,106.49,Online Store
ORD-000140,CUST-02350,PRD-0009,WH-006,2025-10-08,2025-10-13,Delivered,4,152.18,0.0760,562.46,EDI
ORD-000141,CUST-01559,PRD-0021,WH-005,2026-04-09,2026-04-12,Delivered,3,45.05,0.0838,123.82,Sales Desk
ORD-000142,CUST-03937,PRD-0063,WH-004,2026-04-13,2026-04-18,Delivered,3,33.68,0.0811,92.85,Marketplace
ORD-000143,CUST-03085,PRD-0049,WH-003,2025-10-13,2025-10-17,Delivered,1,12.08,0.0594,11.36,EDI
ORD-000144,CUST-01086,PRD-0056,WH-001,2026-04-15,2026-04-20,Delivered,1,23.87,0.0735,22.12,EDI
ORD-000145,CUST-03830,PRD-0001,WH-005,2026-04-16,2026-04-19,Delivered,1,121.54,0.0159,119.61,Online Store
ORD-000146,CUST-03020,PRD-0061,WH-004,2026-08-10,2026-08-13,Delivered,1,55.56,0.0296,53.92,Online Store
ORD-000147,CUST-01424,PRD-0111,WH-002,2025-11-28,2025-12-01,Delivered,3,36.21,0.0286,105.52,Online Store
ORD-000148,CUST-03554,PRD-0016,WH-004,2026-02-18,2026-02-22,Delivered,4,140.26,0.0406,538.26,Online Store
ORD-000149,CUST-00638,PRD-0083,WH-002,2026-08-21,2026-08-23,Delivered,1,20.52,0.0435,19.63,Online Store
ORD-000150,CUST-02725,PRD-0070,WH-005,2026-01-02,2026-01-05,Delivered,10,73.04,0.1454,624.20,EDI
ORD-000151,CUST-01536,PRD-0061,WH-005,2025-10-19,2025-10-24,Delivered,1,55.56,0.0497,52.80,Online Store
ORD-000152,CUST-03510,PRD-0022,WH-002,2026-01-12,2026-01-15,Delivered,4,43.91,0.0475,167.30,Online Store
ORD-000153,CUST-02180,PRD-0090,WH-001,2026-05-07,2026-05-11,Delivered,3,19.95,0.0161,58.89,Online Store
ORD-000154,CUST-01203,PRD-0026,WH-003,2026-04-30,2026-05-05,Delivered,3,33.53,0.0672,93.83,Online Store
ORD-000155,CUST-01377,PRD-0086,WH-004,2025-09-09,2025-09-13,Delivered,8,15.51,0.1477,105.75,Sales Desk
ORD-000156,CUST-02142,PRD-0101,WH-002,2025-09-17,2025-09-22,Delivered,2,13.77,0.0286,26.75,Online Store
ORD-000157,CUST-03202,PRD-0024,WH-003,2026-08-18,2026-08-22,Delivered,1,49.16,0.0394,47.22,Online Store
ORD-000158,CUST-02705,PRD-0110,WH-003,2026-05-11,2026-05-14,Delivered,1,21.36,0.0557,20.17,Sales Desk
ORD-000159,CUST-01856,PRD-0042,WH-004,2025-12-10,2025-12-14,Delivered,2,37.14,0.0244,72.47,Online Store
ORD-000160,CUST-01567,PRD-0004,WH-005,2025-12-10,2025-12-13,Delivered,2,164.08,0.0745,303.71,Marketplace
ORD-000161,CUST-02680,PRD-0101,WH-001,2026-08-08,2026-08-11,Delivered,1,13.77,0.0486,13.10,Online Store
ORD-000162,CUST-01690,PRD-0030,WH-002,2026-07-05,2026-07-09,Delivered,6,68.10,0.1240,357.93,Sales Desk
ORD-000163,CUST-03721,PRD-0046,WH-003,2025-10-29,2025-11-01,Delivered,2,27.94,0.0407,53.61,Online Store
ORD-000164,CUST-00826,PRD-0087,WH-004,2025-12-21,2025-12-24,Delivered,2,18.64,0.0061,37.05,Online Store
ORD-000165,CUST-02038,PRD-0061,WH-002,2026-07-09,2026-07-14,Delivered,2,55.56,0.0327,107.49,Marketplace
ORD-000166,CUST-00312,PRD-0020,WH-006,2026-05-14,2026-05-16,Delivered,5,154.58,0.0258,752.96,Online Store
ORD-000167,CUST-03802,PRD-0036,WH-006,2025-11-09,2025-11-12,Delivered,2,56.69,0.0164,111.52,Marketplace
ORD-000168,CUST-03167,PRD-0067,WH-006,2026-01-14,2026-01-19,Delivered,8,98.98,0.1332,686.37,Sales Desk
ORD-000169,CUST-02338,PRD-0043,WH-003,2026-05-15,2026-05-18,Delivered,2,23.93,0.0430,45.80,Marketplace
ORD-000170,CUST-01139,PRD-0102,WH-003,2025-11-15,2025-11-20,Delivered,5,16.81,0.0591,79.08,Sales Desk
ORD-000171,CUST-01723,PRD-0048,WH-004,2025-10-30,2025-11-03,Delivered,1,30.88,0.0561,29.15,Online Store
ORD-000172,CUST-00957,PRD-0060,WH-006,2026-02-17,2026-02-19,Delivered,3,10.74,0.0699,29.97,Online Store
ORD-000173,CUST-01442,PRD-0109,WH-004,2025-10-24,2025-10-27,Delivered,2,35.49,0.0763,65.56,Online Store
ORD-000174,CUST-02624,PRD-0114,WH-004,2026-03-08,2026-03-13,Delivered,5,39.41,0.0455,188.08,Sales Desk
ORD-000175,CUST-02133,PRD-0078,WH-005,2025-12-12,2025-12-15,Delivered,1,38.69,0.0117,38.24,Online Store
ORD-000176,CUST-02741,PRD-0113,WH-002,2025-12-26,2025-12-30,Processing,8,22.45,0.1034,161.03,Marketplace
ORD-000177,CUST-02363,PRD-0104,WH-001,2025-11-18,2025-11-22,Delivered,1,23.77,0.0431,22.75,Online Store
ORD-000178,CUST-03140,PRD-0117,WH-004,2026-05-02,2026-05-07,Delivered,3,18.87,0.0693,52.69,Online Store
ORD-000179,CUST-02002,PRD-0117,WH-001,2025-11-05,2025-11-07,Delivered,1,18.87,0.0049,18.78,Online Store
ORD-000180,CUST-00707,PRD-0021,WH-006,2025-12-02,2025-12-05,Delivered,1,45.05,0.0567,42.50,Online Store
ORD-000181,CUST-01448,PRD-0063,WH-004,2026-08-06,2026-08-10,Delivered,10,33.68,0.1529,285.30,EDI
ORD-000182,CUST-02255,PRD-0019,WH-005,2025-12-26,2025-12-30,Delivered,1,138.93,0.0257,135.36,Marketplace
ORD-000183,CUST-02082,PRD-0089,WH-006,2025-10-20,2025-10-24,Delivered,1,19.45,0.0062,19.33,Online Store
ORD-000184,CUST-02179,PRD-0049,WH-004,2026-01-02,2026-01-05,Delivered,5,12.08,0.0623,56.64,Sales Desk
ORD-000185,CUST-02770,PRD-0033,WH-005,2026-05-19,2026-05-22,Delivered,3,34.77,0.0444,99.68,EDI
ORD-000186,CUST-00947,PRD-0066,WH-001,2025-12-22,2025-12-26,Delivered,4,49.55,0.0002,198.16,Online Store
ORD-000187,CUST-03152,PRD-0106,WH-001,2025-11-18,2025-11-21,Delivered,1,26.75,0.0416,25.64,Online Store
ORD-000188,CUST-01862,PRD-0042,WH-006,2026-03-05,2026-03-10,Delivered,1,37.14,0.0260,36.17,Online Store
ORD-000189,CUST-03497,PRD-0101,WH-004,2026-02-26,2026-03-03,Delivered,1,13.77,0.0350,13.29,Online Store
ORD-000190,CUST-01398,PRD-0037,WH-003,2026-07-02,2026-07-04,Delivered,1,48.33,0.0064,48.02,Online Store
ORD-000191,CUST-00878,PRD-0042,WH-002,2026-04-23,2026-04-27,Delivered,1,37.14,0.0254,36.20,Online Store
ORD-000192,CUST-03138,PRD-0080,WH-003,2026-04-09,2026-04-13,Delivered,1,103.40,0.0584,97.36,Marketplace
ORD-000193,CUST-01220,PRD-0113,WH-001,2025-10-10,2025-10-13,Delivered,1,22.45,0.0664,20.96,EDI
ORD-000194,CUST-02437,PRD-0009,WH-001,2026-03-09,2026-03-12,Delivered,1,152.18,0.0248,148.41,Online Store
ORD-000195,CUST-02620,PRD-0022,WH-005,2026-04-24,2026-04-27,Delivered,2,43.91,0.0532,83.15,Online Store
ORD-000196,CUST-03822,PRD-0110,WH-003,2026-07-22,2026-07-25,Delivered,1,21.36,0.0737,19.79,EDI
ORD-000197,CUST-03529,PRD-0117,WH-004,2025-12-08,2025-12-13,Delivered,1,18.87,0.0019,18.83,Online Store
ORD-000198,CUST-02867,PRD-0037,WH-005,2025-11-14,2025-11-18,Delivered,1,48.33,0.0378,46.50,Sales Desk
ORD-000199,CUST-03137,PRD-0061,WH-002,2026-03-13,2026-03-17,Delivered,1,55.56,0.0474,52.93,Marketplace
ORD-000200,CUST-03548,PRD-0095,WH-001,2026-01-16,2026-01-19,Delivered,4,23.45,0.0025,93.57,Sales Desk
ORD-000201,CUST-03927,PRD-0033,WH-002,2026-06-25,2026-06-28,Delivered,4,34.77,0.1035,124.69,Online Store
ORD-000202,CUST-03542,PRD-0036,WH-001,2026-03-23,2026-03-28,Cancelled,2,56.69,0.0280,110.21,Online Store
ORD-000203,CUST-03930,PRD-0045,WH-005,2025-12-30,2026-01-03,Delivered,1,17.66,0.0714,16.40,EDI
ORD-000204,CUST-00765,PRD-0067,WH-004,2026-01-15,2026-01-18,Delivered,2,98.98,0.0585,186.38,Online Store
ORD-000205,CUST-03453,PRD-0059,WH-004,2026-05-26,2026-05-31,Delivered,1,11.31,0.0239,11.04,Online Store
ORD-000206,CUST-02288,PRD-0062,WH-003,2025-11-11,2025-11-14,Delivered,2,87.71,0.0594,165.00,EDI
ORD-000207,CUST-01283,PRD-0048,WH-004,2026-07-30,2026-08-01,Delivered,2,30.88,0.0748,57.14,EDI
ORD-000208,CUST-03536,PRD-0009,WH-003,2025-12-05,2025-12-07,Delivered,3,152.18,0.0639,427.37,EDI
ORD-000209,CUST-02845,PRD-0062,WH-002,2026-01-03,2026-01-07,Delivered,1,87.71,0.0530,83.06,Online Store
ORD-000210,CUST-02528,PRD-0076,WH-004,2025-10-21,2025-10-24,Delivered,4,82.48,0.0562,311.38,Marketplace
ORD-000211,CUST-01006,PRD-0097,WH-001,2025-12-15,2025-12-19,Delivered,1,12.37,0.0495,11.76,Online Store
ORD-000212,CUST-00488,PRD-0021,WH-004,2025-11-16,2025-11-20,Delivered,1,45.05,0.0453,43.01,Online Store
